time,open,high,low,close,Volume,Volume MA,pctc,mark,time_since_start,time_since_start_seconds,time_since_last_event,time_since_last_event_seconds
2019-05-01 13:30:00+00:00,182.89,184.5,181.71,182.08,87009.0,58317.8,0.0,4,0 days 00:00:00,0.0,0 days 00:00:00,0.0
2019-05-01 14:30:00+00:00,182.25,183.31,181.39,181.48,32466.0,54655.85,-0.003295254833040495,4,0 days 01:00:00,60.0,0 days 01:00:00,60.0
2019-05-01 15:30:00+00:00,181.28,183.5,181.06,183.02,41981.0,53202.35,0.008485783557416804,4,0 days 02:00:00,120.0,0 days 01:00:00,60.0
2019-05-01 16:30:00+00:00,182.94,183.11,182.1,182.86,24737.0,51067.2,-0.0008742213965686751,4,0 days 03:00:00,180.0,0 days 01:00:00,60.0
2019-05-01 17:30:00+00:00,182.88,184.77,182.77,184.71,33681.0,49363.5,0.010117029421415236,4,0 days 04:00:00,240.0,0 days 01:00:00,60.0
2019-05-01 18:30:00+00:00,184.45,184.75,182.31,182.35,59890.0,46292.55,-0.012776785230902532,3,0 days 05:00:00,300.0,0 days 00:00:00,0.0
2019-05-01 19:30:00+00:00,182.42,182.42,180.47,180.52,44475.0,43053.0,-0.01003564573622151,4,0 days 06:00:00,360.0,0 days 02:00:00,120.0
2019-05-02 13:30:00+00:00,180.88,184.56,179.21,184.33,113790.0,47059.0,0.021105694659871554,5,1 days 00:00:00,1440.0,0 days 00:00:00,0.0
2019-05-02 14:30:00+00:00,184.285,184.87,181.62,182.05,95491.0,50206.3,-0.012369120598925809,3,1 days 01:00:00,1500.0,0 days 20:00:00,1200.0
2019-05-02 15:30:00+00:00,181.81,182.74,180.57,181.63,50492.0,51550.0,-0.002307058500412018,4,1 days 02:00:00,1560.0,0 days 20:00:00,1200.0
2019-05-02 16:30:00+00:00,181.65,182.28,180.72,182.26,44645.0,52207.85,0.0034685899906403694,4,1 days 03:00:00,1620.0,0 days 01:00:00,60.0
2019-05-02 17:30:00+00:00,182.18,183.16,181.78,182.75,37663.0,53016.7,0.0026884670251290377,4,1 days 04:00:00,1680.0,0 days 01:00:00,60.0
2019-05-02 18:30:00+00:00,182.84,182.93,182.04,182.78,28560.0,52825.2,0.00016415868673047562,4,1 days 05:00:00,1740.0,0 days 01:00:00,60.0
2019-05-02 19:30:00+00:00,182.66,183.27,182.54,183.21,30461.0,49590.65,0.002352554984133892,4,1 days 06:00:00,1800.0,0 days 01:00:00,60.0
2019-05-03 13:30:00+00:00,183.74,183.86,180.53,182.42,94153.0,51188.1,-0.00431199170350971,4,2 days 00:00:00,2880.0,0 days 18:00:00,1080.0
2019-05-03 14:30:00+00:00,182.515,183.35,181.9,182.95,48260.0,51547.65,0.0029053831816687747,4,2 days 01:00:00,2940.0,0 days 01:00:00,60.0
2019-05-03 15:30:00+00:00,182.95,182.95,182.0,182.75,31253.0,51066.9,-0.0010931948619841148,4,2 days 02:00:00,3000.0,0 days 01:00:00,60.0
2019-05-03 16:30:00+00:00,182.77,183.08,182.47,182.96,29341.0,50340.35,0.0011491108071135514,4,2 days 03:00:00,3060.0,0 days 01:00:00,60.0
2019-05-03 17:30:00+00:00,182.91,183.45,182.65,182.9,43373.0,51033.2,-0.0003279405334499774,4,2 days 04:00:00,3120.0,0 days 01:00:00,60.0
2019-05-03 18:30:00+00:00,182.84,183.19,182.44,182.55,35894.0,50380.75,-0.001913613996719521,4,2 days 05:00:00,3180.0,0 days 01:00:00,60.0
2019-05-03 19:30:00+00:00,182.57,183.26,182.51,182.95,56395.0,48850.05,0.002191180498493539,4,2 days 06:00:00,3240.0,0 days 01:00:00,60.0
2019-05-06 13:30:00+00:00,175.11,178.43,174.1,178.16,104360.0,52444.75,-0.02618201694452027,3,5 days 00:00:00,7200.0,3 days 23:00:00,5700.0
2019-05-06 14:30:00+00:00,178.09,178.86,177.11,177.89,66506.0,53671.0,-0.0015154916928603601,4,5 days 01:00:00,7260.0,2 days 19:00:00,4020.0
2019-05-06 15:30:00+00:00,178.0,178.29,177.32,177.56,59822.0,55425.25,-0.0018550789813929214,4,5 days 02:00:00,7320.0,0 days 01:00:00,60.0
2019-05-06 16:30:00+00:00,177.61,178.42,177.5,178.42,29212.0,55201.8,0.004843433205676817,4,5 days 03:00:00,7380.0,0 days 01:00:00,60.0
